-14653.18 -16344.70 -14148.32 -15227.56 -13777.41 -15943.82 -15346.25 -14290.62 -16280.57 -13461.54
-14567.60 -16973.43 -13825.17 -15517.92 -14065.60 -16347.15 -15710.36 -14630.39 -16750.16 -13931.15
-14524.49 -16765.10 -13792.11 -15464.23 -14027.50 -16279.26 -15785.49 -14584.15 -16662.19 -13750.41
-14901.45 -16451.49 -13967.65 -15314.91 -13850.36 -16030.41 -15424.66 -14377.09 -16384.37 -13549.74
-14510.36 -16746.79 -13774.12 -15452.58 -14006.92 -16250.62 -15639.18 -14715.46 -16679.98 -13739.71
-14619.59 -16903.91 -13876.64 -15604.94 -14173.78 -16421.09 -15765.19 -14688.75 -16811.83 -13846.58
-14495.69 -16586.53 -13761.29 -15713.61 -13931.88 -16149.09 -15525.34 -14466.71 -16507.27 -13631.50
-14498.46 -17036.75 -13764.84 -15439.14 -14005.16 -16250.82 -15633.12 -14573.72 -16636.82 -13834.81
-14508.67 -16745.73 -13783.71 -15463.45 -14016.05 -16443.61 -15636.55 -14563.72 -16658.15 -13724.72
-14427.00 -16600.69 -13696.07 -15329.28 -13921.53 -16141.05 -15542.26 -14486.66 -16987.98 -13652.86
